1.589;1.3;1.788;1.551;5;1.938
1.3;1.788;1.551;1.938;6;1.477
1.788;1.551;1.938;1.477;7;1.698
1.551;1.938;1.477;1.698;8;1.775
1.938;1.477;1.698;1.775;9;1.589
1.477;1.698;1.775;1.589;10;1.767
1.698;1.775;1.589;1.767;11;1.657
1.775;1.589;1.767;1.657;12;1.728
1.589;1.767;1.657;1.728;1;1.667
1.767;1.657;1.728;1.667;2;1.69
1.657;1.728;1.667;1.69;3;2
1.728;1.667;1.69;2;4;1.828
1.667;1.69;2;1.828;5;1.908
1.69;2;1.828;1.908;6;1.83
2;1.828;1.908;1.83;7;1.848
1.828;1.908;1.83;1.848;8;1.753
1.908;1.83;1.848;1.753;9;1.195
1.83;1.848;1.753;1.195;10;1.781
1.848;1.753;1.195;1.781;11;1.856
1.753;1.195;1.781;1.856;12;1.7
1.195;1.781;1.856;1.7;1;1.772
1.781;1.856;1.7;1.772;2;1.947
1.856;1.7;1.772;1.947;3;1.887
1.7;1.772;1.947;1.887;4;1.837
1.772;1.947;1.887;1.837;5;1.812
1.947;1.887;1.837;1.812;6;2.019
1.887;1.837;1.812;2.019;7;1.847
1.837;1.812;2.019;1.847;8;1.725
1.812;2.019;1.847;1.725;9;1.763
2.019;1.847;1.725;1.763;10;1.795
1.847;1.725;1.763;1.795;11;1.798
1.725;1.763;1.795;1.798;12;1.667
1.763;1.795;1.798;1.667;1;1.677
1.795;1.798;1.667;1.677;2;1.895
1.798;1.667;1.677;1.895;3;1.985
1.667;1.677;1.895;1.985;4;1.904
1.677;1.895;1.985;1.904;5;2.04
1.895;1.985;1.904;2.04;6;1.889
1.985;1.904;2.04;1.889;7;1.968
1.904;2.04;1.889;1.968;8;2.129
2.04;1.889;1.968;2.129;9;1.843
1.889;1.968;2.129;1.843;10;1.918
1.968;2.129;1.843;1.918;11;1.979
2.129;1.843;1.918;1.979;12;1.819
1.843;1.918;1.979;1.819;1;1.662
1.918;1.979;1.819;1.662;2;1.555
1.979;1.819;1.662;1.555;3;1.627
1.819;1.662;1.555;1.627;4;1.91
1.662;1.555;1.627;1.91;5;1.903
1.555;1.627;1.91;1.903;6;2.056
1.627;1.91;1.903;2.056;7;2
1.91;1.903;2.056;2;8;1.989
1.903;2.056;2;1.989;9;2.111
2.056;2;1.989;2.111;10;1.985
2;1.989;2.111;1.985;11;1.738
1.989;2.111;1.985;1.738;12;1.956
2.111;1.985;1.738;1.956;1;1.837
1.985;1.738;1.956;1.837;2;1.916
1.738;1.956;1.837;1.916;3;1.927
1.956;1.837;1.916;1.927;4;2.023
1.837;1.916;1.927;2.023;5;1.978
1.916;1.927;2.023;1.978;6;1.75
1.927;2.023;1.978;1.75;7;1.858
2.023;1.978;1.75;1.858;8;2.334
1.978;1.75;1.858;2.334;9;2.01
1.75;1.858;2.334;2.01;10;2.17
1.858;2.334;2.01;2.17;11;2.013
2.334;2.01;2.17;2.013;12;1.905
2.01;2.17;2.013;1.905;1;1.657
2.17;2.013;1.905;1.657;2;2.08
2.013;1.905;1.657;2.08;3;2
1.905;1.657;2.08;2;4;2.096
1.657;2.08;2;2.096;5;1.848
2.08;2;2.096;1.848;6;2
2;2.096;1.848;2;7;2.011
2.096;1.848;2;2.011;8;2.046
1.848;2;2.011;2.046;9;1.785
2;2.011;2.046;1.785;10;2.182
2.011;2.046;1.785;2.182;11;2.142
2.046;1.785;2.182;2.142;12;2.025
